Latitude,Longitude,name,distance,address,telephone,rating,open_true
43.672278,-79.322523,Motimahal Restaurant Ltd,762,"1422 Gerrard St E (Coxwell), Toronto ON M4L 1Z6",(416) 461-3111,8.1,True
43.671871,-79.324283,Bombay Chowpatty,650,"1386 Gerrard St E, Toronto ON M4L 1Z2",(416) 405-8080,7.3,False
43.679791,-79.3398,Danforth Dragon Restaurant,827,"861 Danforth Ave (East of Jones, south side), Toronto ON M4J 1L8",(416) 461-9238,7.8,True
43.680698,-79.336576,Makkah Restaurant,919,"1020 Danforth Ave, Toronto ON M4J 1M2",(416) 406-2056,6.5,True
43.660932,-79.341305,My Roti Place,540,"948 Queen St E, Toronto ON M4M 1J7",(416) 778-4448,,True
43.661309,-79.338419,Te Aro,384,"983 Queen St E (at Pape Ave), Toronto ON M4M 1K2",(416) 465-2006,8.9,True
43.661191,-79.338494,Simply Samosas,380,"969 Queen St E (Heward), Toronto ON M4M 1K2",(416) 466-5725,,False
43.661085,-79.38575,Colaba Junction,726,"801 Bay St, Toronto ON M5S 1Y9",(416) 646-8800,6.4,True
43.656376,-79.378688,Roti's to Go,72,"66 Dundas St E (Bond), Toronto ON M5B 1C7",(416) 591-3910,,False
43.657256,-79.376052,Hurry Curry,200,"106 Mutual St, Toronto ON M5B 2R7",(416) 777-2879,,True
43.666889,-79.369184,Butter Chicken Factory,1007,"556 Parliament St (at Prospect St.), Toronto ON M4X 1P6",(416) 964-7583,8.4,True
43.657256,-79.376052,Hurry Curry,319,"106 Mutual St, Toronto ON M5B 2R7",(416) 777-2879,,True
43.656376,-79.378688,Roti's to Go,550,"66 Dundas St E (Bond), Toronto ON M5B 1C7",(416) 591-3910,,False
43.690941,-79.290147,Sizzling Tandoori,367,"3030 Danforth Ave, East York ON M4C 1N2",(416) 901-6363,,True
43.692269,-79.282589,Dhaka Biryani House,558,"3315 Danforth Ave, Scarborough ON M1L 1B8",(416) 871-3021,,True
43.689779,-79.295391,Danforth Roti Shop,711,"2844 Danforth Ave (Dawes Road), Toronto ON M4C 1M1",(416) 690-1308,,True
43.68112163005123,-79.42925333976746,Pukka,505,"778 St Clair Ave W (at Arlington Ave), Toronto ON M6C 1B6",(416) 342-1906,9.0,False
43.682373,-79.420391,Raahi Modern Indian Kitchen & Bar,266,"543 St Clair Ave W, Toronto ON M6C 1A3",,,False
43.698371,-79.395763,Flaming Stove,801,"21 Davisville Ave (at Yonge St.), Toronto ON M4S 1G3",(416) 644-5051,7.0,True
43.689553,-79.395011,Ambiyan on Yonge,172,"1560 Yonge St, Toronto ON M4T 2S9",(416) 792-5656,,True
43.686668,-79.393756,Bombay Roti,509,"1404 Yonge St, Toronto ON M4T 1Y5",(647) 345-7684,,True
43.698371,-79.395763,Flaming Stove,94,"21 Davisville Ave (at Yonge St.), Toronto ON M4S 1G3",(416) 644-5051,7.0,True
43.700552,-79.396672,Khau Gully,328,"1991 Yonge St, Toronto ON M4S 1Z8",(647) 347-9993,5.6,True
43.701048,-79.396798,My Roti Place,395,"3 Glebe Rd E, Toronto ON M4S 1N7",(416) 322-9559,,True
43.639268,-79.385502,Indian Roti House,851,"256 Queens Quay W (btwn Rees St & Lower Simcoe S), Toronto ON M5J 1B5",(416) 260-6666,6.9,True
43.644736,-79.390579,Aanch - Modernistic Indian Cuisine,706,"259 Wellington St W, Toronto ON M5V 3P9",(416) 599-0513,6.8,True
43.646475,-79.389828,Aroma Fine Indian Cuisine,894,"287 King St W (at John St.), Toronto ON M5V 1J5",(416) 971-7242,6.9,True
43.669902,-79.39576,The Host Fine Indian Cuisine,399,"14 Prince Arthur Ave (btwn Queen's Pk & St. George), Toronto ON M5R 1A9",(416) 962-4678,7.0,True
43.671101,-79.390853,Utsav,813,"69 Yorkville Ave (Yorkville), Toronto ON M5R 1B8",(416) 961-8349,7.0,True
43.666262,-79.406449,Masala Guys,584,"384 Bloor St W (Dalton rd), Toronto ON M5S 1X2",(416) 901-3988,,False
43.650192,-79.388877,Little India Restaurant,534,"255 Queen St W (Queen and University), Toronto ON M5V 1Z4",(416) 205-9836,7.3,True
43.646475,-79.389828,Aroma Fine Indian Cuisine,547,"287 King St W (at John St.), Toronto ON M5V 1J5",(416) 971-7242,6.9,True
43.648545,-79.372114,Bindia Indian Bistro,915,"16 Market St, Toronto ON M5E 1M6",(416) 863-0000,7.2,True
43.686668,-79.393756,Bombay Roti,396,"1404 Yonge St, Toronto ON M4T 1Y5",(647) 345-7684,,True
43.689553,-79.395011,Ambiyan on Yonge,495,"1560 Yonge St, Toronto ON M4T 2S9",(416) 792-5656,,True
43.649288,-79.449834,Dil Se Indian Restaurant & Bar,803,"335 Roncesvalles Ave, Toronto ON M6R 2M8",(416) 532-4141,,True
43.647963,-79.449527,The Mercantile,953,"297 Roncesvalles Ave, Toronto ON M6R 2M3",(416) 531-7563,8.3,True
43.656285,-79.45395,Bawara,177,"1570 Bloor St W, Toronto ON M6P 1A4",(416) 532-2323,,True
43.644736,-79.390579,Aanch - Modernistic Indian Cuisine,958,"259 Wellington St W, Toronto ON M5V 3P9",(416) 599-0513,6.8,True
43.647585,-79.40314,Roti Mahal,967,"554 Queen St W, Toronto ON M5V 2B5",(416) 546-9404,,True
43.646889,-79.404992,The Kettle,979,"685 Queen St W, Toronto ON M6J 1E6",(416) 551-6788,,True
43.662017,-79.406146,Matha Roti,397,"141 Harbord St, Toronto ON M5S 1H1",(416) 966-6955,,True
43.657754,-79.402239,NaanSpot,446,"310 College St, Toronto ON M5T 1S3",(647) 343-6226,,True
43.660029,-79.394887,Veda Restaurant,547,"10 King's College Rd (in Sandford Fleming), Toronto ON M5S 3G4",(416) 961-9797,,True
43.665687,-79.470474,Curry Twist Restaurant,988,"3034 Dundas St W (High Park Ave.), Toronto ON M6P 1Z3",(416) 769-5460,8.3,False
43.649288,-79.449834,Dil Se Indian Restaurant & Bar,905,"335 Roncesvalles Ave, Toronto ON M6R 2M8",(416) 532-4141,,True
43.656285,-79.45395,Bawara,152,"1570 Bloor St W, Toronto ON M6P 1A4",(416) 532-2323,,True
43.657754,-79.402239,NaanSpot,82,"310 College St, Toronto ON M5T 1S3",(647) 343-6226,,True
43.656192,-79.402878,The Cottage Cheese,159,"64 Oxford St, Toronto ON M5T 1P1",(647) 368-8633,,False
43.657021,-79.406143,Thindi Cafe,237,"400 College St, Toronto ON M5T 1S8",(416) 964-1412,,False
43.667943,-79.385626,Kothur Indian Cuisine,958,"649 Yonge St, Toronto ON M4Y 1Z9",(416) 926-0953,7.8,False
43.661085,-79.38575,Colaba Junction,529,"801 Bay St, Toronto ON M5S 1Y9",(416) 646-8800,6.4,True
43.665222,-79.384445,The Halal Guys Inc,666,"563 Yonge St (at Wellesley St E), Toronto ON M4Y 1Z2",(416) 901-1011,6.0,True
43.639268,-79.385502,Indian Roti House,884,"256 Queens Quay W (btwn Rees St & Lower Simcoe S), Toronto ON M5J 1B5",(416) 260-6666,6.9,True
43.667943,-79.385626,Kothur Indian Cuisine,929,"649 Yonge St, Toronto ON M4Y 1Z9",(416) 926-0953,7.8,False
43.661085,-79.38575,Colaba Junction,264,"801 Bay St, Toronto ON M5S 1Y9",(416) 646-8800,6.4,True
43.65705,-79.384874,Matagali Restaurant,341,"69 Elm St (Bay), Toronto ON M5G 1H2",(416) 599-9994,5.8,True
43.650192,-79.388877,Little India Restaurant,1011,"255 Queen St W (Queen and University), Toronto ON M5V 1Z4",(416) 205-9836,7.3,True
43.648545,-79.372114,Bindia Indian Bistro,879,"16 Market St, Toronto ON M5E 1M6",(416) 863-0000,7.2,True
43.639268,-79.385502,Indian Roti House,651,"256 Queens Quay W (btwn Rees St & Lower Simcoe S), Toronto ON M5J 1B5",(416) 260-6666,6.9,True
43.666889,-79.369184,Butter Chicken Factory,345,"556 Parliament St (at Prospect St.), Toronto ON M4X 1P6",(416) 964-7583,8.4,True
43.663506,-79.372481,Cabbagetown South Indian Resturant,328,"178 Carlton St (Sherbourne street), Toronto ON M5A 2K6",(416) 944-2626,,False
43.665222,-79.384445,The Halal Guys Inc,921,"563 Yonge St (at Wellesley St E), Toronto ON M4Y 1Z2",(416) 901-1011,6.0,True
43.639268,-79.385502,Indian Roti House,640,"256 Queens Quay W (btwn Rees St & Lower Simcoe S), Toronto ON M5J 1B5",(416) 260-6666,6.9,True
43.644736,-79.390579,Aanch - Modernistic Indian Cuisine,574,"259 Wellington St W, Toronto ON M5V 3P9",(416) 599-0513,6.8,True
43.646475,-79.389828,Aroma Fine Indian Cuisine,762,"287 King St W (at John St.), Toronto ON M5V 1J5",(416) 971-7242,6.9,True
43.648798,-79.397257,My Roti Place,667,"406 Queen St W (Cameron), Toronto ON M5V 2A6",(416) 366-5554,7.8,True
43.656192,-79.402878,The Cottage Cheese,285,"64 Oxford St, Toronto ON M5T 1P1",(647) 368-8633,,False
43.657754,-79.402239,NaanSpot,437,"310 College St, Toronto ON M5T 1S3",(647) 343-6226,,True
43.654586,-79.435723,Mirch,469,"900 Dufferin St, Toronto ON M6H 4A9",(647) 748-0114,,True
43.649903,-79.432962,Mumbai Tadka,806,"1532 Dundas St W, Toronto ON M6K 1T5",,,False
43.649288,-79.449834,Dil Se Indian Restaurant & Bar,867,"335 Roncesvalles Ave, Toronto ON M6R 2M8",(416) 532-4141,,True
43.649288,-79.449834,Dil Se Indian Restaurant & Bar,590,"335 Roncesvalles Ave, Toronto ON M6R 2M8",(416) 532-4141,,True
43.654586,-79.435723,Mirch,727,"900 Dufferin St, Toronto ON M6H 4A9",(647) 748-0114,,True
43.649903,-79.432962,Mumbai Tadka,811,"1532 Dundas St W, Toronto ON M6K 1T5",,,False
43.654586,-79.435723,Mirch,443,"900 Dufferin St, Toronto ON M6H 4A9",(647) 748-0114,,True
43.649903,-79.432962,Mumbai Tadka,477,"1532 Dundas St W, Toronto ON M6K 1T5",,,False
43.649715,-79.429379,Bhojan Alley,753,"1424 Dundas St W, Toronto ON M6J 1Y5",(416) 538-3443,,False
43.663179,-79.42181,Banjara Indian Cuisine,938,"796 Bloor St W (at Crawford St), Toronto ON M6G 1L7",(416) 963-9360,8.7,True
43.663179,-79.42181,Madras Masala,944,"796 Bloor St W, Toronto ON M6G 1L7",(647) 342-4359,7.8,True
43.655224,-79.416188,Samrat Indian Cuisine,525,"648 College St (Grace St), Toronto ON M6G 1B8",,,False
43.650793,-79.476817,Bukhara Grill,998,"2241A Bloor St W (Runnymede & Bloor), Toronto ON M6S 1N7",(416) 551-5199,7.0,True
43.656285,-79.45395,Bawara,960,"1570 Bloor St W, Toronto ON M6P 1A4",(416) 532-2323,,True
43.63757,-79.456551,Sunnyside Pavilion Cafe,705,"1755 Lake Shore Blvd W, Toronto ON M6S 5A3",,6.1,False
43.637643,-79.456329,Sunnyside Pavilion Cafe,697,"1755 Lake Shore Blvd W (btwn Parkside & Colborne Lodge Dr.), Toronto ON M6S 5A3",(416) 531-2233,,True
43.656285,-79.45395,Bawara,532,"1570 Bloor St W, Toronto ON M6P 1A4",(416) 532-2323,,True
43.63757,-79.456551,Sunnyside Pavilion Cafe,944,"1755 Lake Shore Blvd W, Toronto ON M6S 5A3",,6.1,False
43.637643,-79.456329,Sunnyside Pavilion Cafe,937,"1755 Lake Shore Blvd W (btwn Parkside & Colborne Lodge Dr.), Toronto ON M6S 5A3",(416) 531-2233,,True
43.640793,-79.43627,Mother India,828,"1456 Queen St W (at Lansdowne), Toronto ON M6K 1M2",(416) 588-4634,8.1,True
43.640255,-79.437492,Om Restaurant,701,"1439 Queen St W, Toronto ON M6R 1A1",(416) 532-3901,7.7,True
43.640413,-79.436863,Glory of India,791,"1407 Queen St W, Toronto ON M6K 1M3",(647) 349-5679,7.1,True
43.649288,-79.449834,Dil Se Indian Restaurant & Bar,474,"335 Roncesvalles Ave, Toronto ON M6R 2M8",(416) 532-4141,,True
43.647963,-79.449527,The Mercantile,624,"297 Roncesvalles Ave, Toronto ON M6R 2M3",(416) 531-7563,8.3,True
43.656285,-79.45395,Bawara,369,"1570 Bloor St W, Toronto ON M6P 1A4",(416) 532-2323,,True
43.707981,-79.393364,Banjara Indian Cuisine,590,"164 Eglinton Ave E (at Redpath Ave), Toronto ON M4P 1G4",(416) 486-6644,6.4,True
43.706943,-79.396054,Aafrien,485,"55 Eglinton Ave E, Toronto ON M4P 1G8",(416) 482-3434,,True
43.707915,-79.393494,Chowrasta Indian Cuisine,574,"164 Eglinton Ave E, Toronto ON M4P 1G4",(416) 486-6644,,True
43.648798,-79.397257,My Roti Place,844,"406 Queen St W (Cameron), Toronto ON M5V 2A6",(416) 366-5554,7.8,True
43.650192,-79.388877,Little India Restaurant,596,"255 Queen St W (Queen and University), Toronto ON M5V 1Z4",(416) 205-9836,7.3,True
43.646475,-79.389828,Aroma Fine Indian Cuisine,992,"287 King St W (at John St.), Toronto ON M5V 1J5",(416) 971-7242,6.9,True
43.67721,-79.353003,Sher-E-Punjab Restaurant,916,"351 Danforth Ave (at Jackman Ave), Toronto ON M4K 1N7",(416) 465-2125,7.1,False
43.678024,-79.349,Kachiguda Junction,795,"505 Danforth (Logan), Toronto ON M4K 1P5",(416) 466-1555,,True
43.677691,-79.350226,Ministry of Government Service,832,"25 Morton Shulman Ave Main, North York ON M3M 0B1",(647) 340-5469,,False
43.667943,-79.385626,Kothur Indian Cuisine,460,"649 Yonge St, Toronto ON M4Y 1Z9",(416) 926-0953,7.8,False
43.671101,-79.390853,Utsav,94,"69 Yorkville Ave (Yorkville), Toronto ON M5R 1B8",(416) 961-8349,7.0,True
43.669902,-79.39576,The Host Fine Indian Cuisine,448,"14 Prince Arthur Ave (btwn Queen's Pk & St. George), Toronto ON M5R 1A9",(416) 962-4678,7.0,True
43.667943,-79.385626,Kothur Indian Cuisine,138,"649 Yonge St, Toronto ON M4Y 1Z9",(416) 926-0953,7.8,False
43.669386,-79.385856,Suski Biriyani House,55,"15 Hayden St (nr Yonge St), Toronto ON M4Y 2P2",(416) 515-1957,6.6,True
43.671101,-79.390853,Utsav,482,"69 Yorkville Ave (Yorkville), Toronto ON M5R 1B8",(416) 961-8349,7.0,True
43.641873,-79.411437,My Roti Place,592,"901 King St W (at Strachan Ave), Toronto ON M5V 3H5",(647) 295-9446,,True
43.646092,-79.408231,Curryish,625,"783 Queen St W, Toronto ON M6J 1G1",(416) 392-7837,,False
43.646889,-79.404992,The Kettle,639,"685 Queen St W, Toronto ON M6J 1E6",(416) 551-6788,,True
43.648798,-79.397257,My Roti Place,539,"406 Queen St W (Cameron), Toronto ON M5V 2A6",(416) 366-5554,7.8,True
43.650192,-79.388877,Little India Restaurant,947,"255 Queen St W (Queen and University), Toronto ON M5V 1Z4",(416) 205-9836,7.3,True
43.644736,-79.390579,Aanch - Modernistic Indian Cuisine,491,"259 Wellington St W, Toronto ON M5V 3P9",(416) 599-0513,6.8,True
43.648798,-79.397257,My Roti Place,902,"406 Queen St W (Cameron), Toronto ON M5V 2A6",(416) 366-5554,7.8,True
43.650192,-79.388877,Little India Restaurant,468,"255 Queen St W (Queen and University), Toronto ON M5V 1Z4",(416) 205-9836,7.3,True
43.646475,-79.389828,Aroma Fine Indian Cuisine,895,"287 King St W (at John St.), Toronto ON M5V 1J5",(416) 971-7242,6.9,True
43.669902,-79.39576,The Host Fine Indian Cuisine,864,"14 Prince Arthur Ave (btwn Queen's Pk & St. George), Toronto ON M5R 1A9",(416) 962-4678,7.0,True
43.666262,-79.406449,Masala Guys,128,"384 Bloor St W (Dalton rd), Toronto ON M5S 1X2",(416) 901-3988,,False
43.665843,-79.406803,Indian Desire,142,"469 Bloor St W, Toronto ON M5S 1X9",(416) 519-0604,,True
43.669776,-79.301879,Cinamon Indian Bistro,610,"1966A Queen St E (at Kenilworth Ave), Toronto ON M4L 1H8",(416) 519-4534,7.5,True
43.673611,-79.283635,Ali's Tandoori Curry House,894,"2459 1/2 Queen St E (Waterworks), Toronto ON M4E 1H7",(416) 694-3056,,True
43.670354,-79.299304,Amma Roti House,390,"2014 Queen St E (across from Kew Gardens), Toronto ON M4L 1J3",(416) 944-1944,,True
43.672665,-79.321041,Udupi Palace,928,"1460 Gerrard St E (Coxwell Ave), Toronto ON M4L 2A3",(416) 405-8189,8.7,True
43.672278,-79.322523,Motimahal Restaurant Ltd,989,"1422 Gerrard St E (Coxwell), Toronto ON M4L 1Z6",(416) 461-3111,8.1,True
43.669776,-79.301879,Cinamon Indian Bistro,893,"1966A Queen St E (at Kenilworth Ave), Toronto ON M4L 1H8",(416) 519-4534,7.5,True
43.673611,-79.283635,Ali's Tandoori Curry House,615,"2459 1/2 Queen St E (Waterworks), Toronto ON M4E 1H7",(416) 694-3056,,True
43.672744,-79.287895,Outrigger Tap & Table,393,"2232 Queen St E, Toronto ON",(647) 748-2232,6.3,True
43.670354,-79.299304,Amma Roti House,828,"2014 Queen St E (across from Kew Gardens), Toronto ON M4L 1J3",(416) 944-1944,,True
43.673611,-79.283635,Ali's Tandoori Curry House,432,"2459 1/2 Queen St E (Waterworks), Toronto ON M4E 1H7",(416) 694-3056,,True
43.672744,-79.287895,Outrigger Tap & Table,101,"2232 Queen St E, Toronto ON",(647) 748-2232,6.3,True
43.670354,-79.299304,Amma Roti House,853,"2014 Queen St E (across from Kew Gardens), Toronto ON M4L 1J3",(416) 944-1944,,True
43.639268,-79.385502,Indian Roti House,526,"256 Queens Quay W (btwn Rees St & Lower Simcoe S), Toronto ON M5J 1B5",(416) 260-6666,6.9,True
43.644736,-79.390579,Aanch - Modernistic Indian Cuisine,723,"259 Wellington St W, Toronto ON M5V 3P9",(416) 599-0513,6.8,True
43.646475,-79.389828,Aroma Fine Indian Cuisine,903,"287 King St W (at John St.), Toronto ON M5V 1J5",(416) 971-7242,6.9,True
43.6664,-79.316826,Butter Chicken Roti,423,"1610 Queen St E (Coxwel), Toronto ON M4L 1G2",(647) 349-7684,,True
43.667359,-79.312862,Murphy's Law Irish Pub Inc,545,"1702 Queen St E (at Kingston Rd.), Toronto ON M4L 1G6",(416) 690-5516,6.8,True
43.666889,-79.369184,Butter Chicken Factory,482,"556 Parliament St (at Prospect St.), Toronto ON M4X 1P6",(416) 964-7583,8.4,True
43.663506,-79.372481,Cabbagetown South Indian Resturant,923,"178 Carlton St (Sherbourne street), Toronto ON M5A 2K6",(416) 944-2626,,False
43.668338,-79.369321,BBQ Chicken Factory,466,"292 Wellesley St E, Toronto ON M4X 1H1",(647) 352-7111,,True
43.648798,-79.397257,My Roti Place,539,"406 Queen St W (Cameron), Toronto ON M5V 2A6",(416) 366-5554,7.8,True
43.656192,-79.402878,The Cottage Cheese,427,"64 Oxford St, Toronto ON M5T 1P1",(647) 368-8633,,False
43.647585,-79.40314,Roti Mahal,566,"554 Queen St W, Toronto ON M5V 2B5",(416) 546-9404,,True
43.6467,-79.419921,Indian Grill,287,"108 Ossington Ave, Toronto ON M6J 2Z4",(647) 503-3878,,True
43.639442,-79.421704,6Ixtriangles,546,"127 Jefferson Ave (King St W), Toronto ON M6K 3E4",(416) 539-0555,,True
43.638768,-79.416315,Maurya East Indian Cuisine - Liberty Village,623,"150 E Liberty St, Toronto ON M6K 3R5",(647) 347-7002,,True
43.655932,-79.36389,Adda Bistro Kitchen & Bar,577,"366 Queen St E, Toronto ON M5A 1T1",(647) 393-3164,,True
43.655637,-79.364872,Chachu's,607,"179 Parliament St (Queen), Toronto ON M5A 2Z4",,,False
43.650796,-79.369713,Butter Chicken Roti,773,"201 King St, Toronto ON M9N 1L8",(416) 551-9933,,True
43.650192,-79.388877,Little India Restaurant,881,"255 Queen St W (Queen and University), Toronto ON M5V 1Z4",(416) 205-9836,7.3,True
43.661085,-79.38575,Colaba Junction,633,"801 Bay St, Toronto ON M5S 1Y9",(416) 646-8800,6.4,True
43.65705,-79.384874,Matagali Restaurant,292,"69 Elm St (Bay), Toronto ON M5G 1H2",(416) 599-9994,5.8,True
43.674776,-79.408277,Roti Cuisine of India,537,"308 Dupont St (at Walmer Rd.), Toronto ON M5R 1V9",(416) 968-9366,8.8,True
43.669902,-79.39576,The Host Fine Indian Cuisine,773,"14 Prince Arthur Ave (btwn Queen's Pk & St. George), Toronto ON M5R 1A9",(416) 962-4678,7.0,True
43.666262,-79.406449,Masala Guys,470,"384 Bloor St W (Dalton rd), Toronto ON M5S 1X2",(416) 901-3988,,False
43.674776,-79.408277,Roti Cuisine of India,671,"308 Dupont St (at Walmer Rd.), Toronto ON M5R 1V9",(416) 968-9366,8.8,True
43.682373,-79.420391,Raahi Modern Indian Kitchen & Bar,736,"543 St Clair Ave W, Toronto ON M6C 1A3",,,False
43.672732,-79.413984,Annapurna Vegetarian Restaurant,459,"1085 Bathurst St, Toronto ON M5R 3G8",(416) 537-8513,7.2,True
43.640793,-79.43627,Mother India,34,"1456 Queen St W (at Lansdowne), Toronto ON M6K 1M2",(416) 588-4634,8.1,True
