name,distance,address,telephone,rating,review_counts,closed
Taste Of Tandooree And Sweets,854.6929787729543,"('1330 Gerrard Street E', 'Toronto, ON M4L 1Z1', 'Canada')",+1 416-519-4510,3.0,10,False
India Paan,776.5979114395852,"('1427 Gerrard St E', 'Toronto, ON M4L 1Z7', 'Canada')",+1 416-461-8914,2.0,4,False
Maha's,1005.190034713692,"('226 Greenwood Avenue', 'Toronto, ON M4L 2R2', 'Canada')",+1 416-462-2703,4.0,600,False
Lahore BBQ Paan Center,777.9819023421976,"('1435 Gerrard Street E', 'Toronto, ON M4L 1Z7', 'Canada')",+1 416-462-3293,3.0,15,False
Indian Rasoi,779.8741705703934,"('1437 Gerrard Street E', 'Toronto, ON M4L 1Z7', 'Canada')",+1 416-461-0896,2.0,13,False
The Famous Indian Cuisine,791.8885777855301,"('1410 Gerrard Street E', 'Toronto, ON M4L 1Z4', 'Canada')",+1 416-406-4511,4.0,66,False
Lahore Tikka House,802.997541789159,"('1365 Gerrard Street E', 'Toronto, ON M4L 1Z3', 'Canada')",+1 416-406-1668,3.5,546,False
Chandni Chowk Restaurant,784.142212018523,"('1426 Gerrard Street E', 'Toronto, ON M4L 1Z6', 'Canada')",+1 416-469-4466,4.0,32,False
Udupi Palace,776.9763782879496,"('1460 Gerrard Street E', 'Toronto, ON M4L 2A3', 'Canada')",+1 416-405-8189,3.5,208,False
Leela Indian Food Bar,833.2911410986461,"('1386 Gerrard Street E', 'Toronto, ON M4L 1Z2', 'Canada')",+1 416-461-8088,4.0,20,False
Karma's Kitchen,755.6731487322779,"('1411 Gerrard Street E', 'Toronto, ON M4L 1Z5', 'Canada')",+1 647-345-2762,4.0,63,False
Motimahal,790.1981673684573,"('1422 Gerrard St E', 'Toronto, ON M4L 1Z6', 'Canada')",+1 416-461-3111,3.5,112,False
Bombay Chowpatty,835.9026079721546,"('1386 Gerrard St E', 'Toronto, ON M4L', 'Canada')",+1 416-405-8080,3.0,59,False
Gautama,804.6544231856334,"('1416 Gerrard Street E', 'Toronto, ON M4L 1Z6', 'Canada')",+1 416-469-4444,3.5,64,False
Butter Chicken Roti,72.41293906313112,"('1610 Queen Street E', 'Toronto, ON M4L 1G2', 'Canada')",+1 647-349-7684,2.5,13,False
Lahore Grill & Fast Food,991.7745004033363,"('1274 Gerrard Street E', 'Toronto, ON M4L 1Y6', 'Canada')",+1 416-778-9785,3.5,14,False
The Social Gardener,863.6850306380934,"('1326 Gerrard Street  E', 'Toronto, ON M4L 1Z1', 'Canada')",+1 416-465-6021,3.5,5,False
Baldev Paan Cold Drink House,764.8034076974823,"('1399 Gerrard Street E', 'Toronto, ON M4L 1Z5', 'Canada')",+1 416-463-7226,3.5,4,False
Nitya Restaurant,740.1091317098093,"('1433 Gerrard St E', 'Toronto, ON M4L 1Z6', 'Canada')",+1 416-469-1500,3.5,4,False
Taste Of Tandooree And Sweets,873.9756569857208,"('1330 Gerrard Street E', 'Toronto, ON M4L 1Z1', 'Canada')",+1 416-519-4510,3.0,10,False
India Paan,741.7930306023268,"('1427 Gerrard St E', 'Toronto, ON M4L 1Z7', 'Canada')",+1 416-461-8914,2.0,4,False
Maha's,1066.4121359855728,"('226 Greenwood Avenue', 'Toronto, ON M4L 2R2', 'Canada')",+1 416-462-2703,4.0,600,False
Lahore BBQ Paan Center,738.2674389967392,"('1435 Gerrard Street E', 'Toronto, ON M4L 1Z7', 'Canada')",+1 416-462-3293,3.0,15,False
Indian Rasoi,738.9316552830946,"('1437 Gerrard Street E', 'Toronto, ON M4L 1Z7', 'Canada')",+1 416-461-0896,2.0,13,False
Tandoor,793.171681109448,"('1430 Gerrard St E', 'Toronto, ON M4L 1Z6', 'Canada')",+1 416-778-0033,1.0,4,False
Bindia Indian Bistro,631.8421189716192,"('16 Market St.', 'Toronto, ON M5E 1M6', 'Canada')",+1 416-863-0000,4.0,208,False
Khazana - By Chef Sanjeev Kapoor,349.6416354673152,"('261 Yonge Street', 'Toronto, ON M5B 1N8', 'Canada')",+1 905-789-8738,3.5,21,False
Little India Restaurant,1036.3167374107504,"('255 Queen Street W', 'Toronto, ON M5V 1Z4', 'Canada')",+1 416-205-9836,3.5,438,False
Benares Cucina Indian,610.1115248903341,"('001 – 49 Front Street E', 'Toronto, ON M5E 1B3', 'Canada')",+1 416-955-9000,4.0,13,False
Chaska,1029.674689622212,"('218 Adelaide St W', 'Toronto, ON M5H 1W7', 'Canada')",,4.0,13,False
Bombay Palace,444.9675592539294,"('71 Jarvis Street', 'Toronto, ON M5C 2H2', 'Canada')",+1 416-368-8048,3.5,59,False
The Host Fine Indian Cuisine,853.1989755408572,"('87 Elm Street', 'Toronto, ON M5G 0A8', 'Canada')",+1 416-962-4678,3.5,133,False
Spice66,558.415038102229,"('335 Yonge And Dundas', 'Toronto, ON M5B 2L3', 'Canada')",+1 416-816-2766,4.0,3,False
Byblos,1114.7231871428155,"('11 Duncan Street', 'Toronto, ON M5V 3M2', 'Canada')",+1 647-660-0909,4.5,914,False
Matagali Restaurant,779.356470568429,"('69 Elm Street', 'Toronto, ON M5G 1H2', 'Canada')",+1 416-599-9994,3.5,56,False
T|Bar,776.402088040759,"('Chelsea Hotel', '33 Gerrard Street W', 'Toronto, ON M5G 1Z4', 'Canada')",+1 416-585-4961,3.5,13,False
King Place,692.8172167145015,"('236 Sherbourne Street', 'Unit 1', 'Toronto, ON M5A 2R7', 'Canada')",+1 647-352-0786,3.5,44,False
Touch,306.79227200668663,"('1 Adelaide St E', 'Toronto, ON M5C 1J4', 'Canada')",+1 416-364-4203,3.0,20,False
Indian Biriyani House,812.5668368758988,"('181 Dundas St W', 'Toronto, ON M5G 1C7', 'Canada')",+1 416-340-1254,2.5,71,False
Stratus Restaurant,796.4858522593385,"('79 Wellington Street W', 'TD South Tower, 36th Fl.', 'Toronto, ON M5K 1J5', 'Canada')",+1 416-865-1924,5.0,1,False
The Bombay,1051.1570424959612,"('259 Queen Street W', 'Toronto, ON M5V 1Z4', 'Canada')",+1 416-519-2550,3.5,10,False
Laziz Curry Kitchen,423.1214324834535,"('151 Dundas St E', 'Toronto, ON M5B 1E4', 'Canada')",+1 416-762-9440,3.5,2,False
Punjabi Chaap Corner,742.0212670519905,"('38 Elm Street', 'Unit 06A', 'Toronto, ON M5G 2K5', 'Canada')",+1 416-598-3787,4.0,5,False
PLANTA Toronto,925.6509477888619,"('180 Queen Street W', 'Toronto, ON M5V 3X3', 'Canada')",+1 647-812-1210,4.0,172,False
Butter Chicken Roti,625.1337502804091,"('201 King Street E', 'Unit 3', 'Toronto, ON M5A 1J5', 'Canada')",+1 416-551-9933,3.5,39,False
Indian Roti House,79.4495811802111,"('471 Church Street', 'Toronto, ON M4Y 2C5', 'Canada')",+1 647-987-7684,3.5,44,False
Naan & Kabob,751.442285536741,"('691 Yonge Street', 'Toronto, ON M4Y 2B2', 'Canada')",+1 416-972-6623,4.0,152,False
Indian Studio Kitchen,401.9152513689087,"('429 Yonge Street', 'Toronto, ON M5B 1T1', 'Canada')",+1 416-977-8137,4.0,1,False
Khazana - By Chef Sanjeev Kapoor,946.3924175269394,"('261 Yonge Street', 'Toronto, ON M5B 1N8', 'Canada')",+1 905-789-8738,3.5,21,False
Colaba Junction,522.0499252036882,"('801 Bay Street', 'Unit 3 & 4', 'Toronto, ON M5S 1Y9', 'Canada')",+1 416-646-8800,3.0,82,False
The Host Fine Indian Cuisine,912.2986304979418,"('87 Elm Street', 'Toronto, ON M5G 0A8', 'Canada')",+1 416-962-4678,3.5,133,False
Suksi Biryani House,774.5237066556781,"('15 Hayden Street', 'Toronto, ON M4Y 2P2', 'Canada')",+1 416-515-1957,3.5,73,False
Kothur Indian Cuisine,639.1446733727211,"('649 Yonge Street', 'Toronto, ON M4Y 2A6', 'Canada')",+1 416-926-0953,3.5,104,False
Utsav,1183.5110485619548,"('69 Yorkville Ave', 'Toronto, ON M5R 1B8', 'Canada')",+1 416-961-8349,4.0,138,False
T|Bar,632.6398787403637,"('Chelsea Hotel', '33 Gerrard Street W', 'Toronto, ON M5G 1Z4', 'Canada')",+1 416-585-4961,3.5,13,False
Suruthi's Take Out & Catering,997.0928724146588,"('585 Parliament Street', 'Toronto, ON M4X 1P9', 'Canada')",+1 416-925-1939,4.0,12,False
Spice66,725.0934525994379,"('335 Yonge And Dundas', 'Toronto, ON M5B 2L3', 'Canada')",+1 416-816-2766,4.0,3,False
Globol Restaurants,170.26575603666862,"('60 Carlton Street', 'Loblaws Maple Leaf Gardens', 'Toronto, ON M5B 1J2', 'Canada')",,5.0,1,False
Matagali Restaurant,827.149396536864,"('69 Elm Street', 'Toronto, ON M5G 1H2', 'Canada')",+1 416-599-9994,3.5,56,False
Poppadum,1148.8608147742232,"('874 Yonge Street', 'Toronto, ON M4W 2J1', 'Canada')",+1 647-892-2907,5.0,6,False
Kathmandu Restaurant,1028.6092953348473,"('12 Cumberland Street', 'Toronto, ON M4W 1J5', 'Canada')",+1 647-345-4214,3.5,68,False
Maezo Indian Cuisine,1242.4228195246935,"('102-250 Dundas Street W', 'Toronto, ON M5T 2Z6', 'Canada')",+1 416-941-0000,4.5,12,False
PLANTA Yorkville,1031.7696244051954,"('1221 Bay Street', 'Toronto, ON M5R 3P5', 'Canada')",+1 647-812-1221,4.0,509,False
Punjabi Chaap Corner,738.7877951725193,"('38 Elm Street', 'Unit 06A', 'Toronto, ON M5G 2K5', 'Canada')",+1 416-598-3787,4.0,5,False
Maja Indian Cuisine,909.0939549017097,"('345 Bloor Street E', 'Toronto, ON M4W 3J6', 'Canada')",+1 647-350-7876,4.0,34,False
Rikki Tikki,1072.414516274906,"('209 Augusta Avenue', 'Toronto, ON M5T 2L4', 'Canada')",+1 416-792-3229,5.0,29,False
Little India Restaurant,841.1589019537321,"('255 Queen Street W', 'Toronto, ON M5V 1Z4', 'Canada')",+1 416-205-9836,3.5,438,False
The Host Fine Indian Cuisine,267.7351061596067,"('87 Elm Street', 'Toronto, ON M5G 0A8', 'Canada')",+1 416-962-4678,3.5,133,False
Indraprastha,326.49947824631744,"('5 Baldwin Street', 'Toronto, ON M5T 1L1', 'Canada')",+1 437-880-8349,5.0,2,False
Maezo Indian Cuisine,326.58586977286535,"('102-250 Dundas Street W', 'Toronto, ON M5T 2Z6', 'Canada')",+1 416-941-0000,4.5,12,False
Khazana - By Chef Sanjeev Kapoor,782.7417728952981,"('261 Yonge Street', 'Toronto, ON M5B 1N8', 'Canada')",+1 905-789-8738,3.5,21,False
Matagali Restaurant,356.6839032079849,"('69 Elm Street', 'Toronto, ON M5G 1H2', 'Canada')",+1 416-599-9994,3.5,56,False
Colaba Junction,466.8959221990853,"('801 Bay Street', 'Unit 3 & 4', 'Toronto, ON M5S 1Y9', 'Canada')",+1 416-646-8800,3.0,82,False
Indian Biriyani House,375.24775558237343,"('181 Dundas St W', 'Toronto, ON M5G 1C7', 'Canada')",+1 416-340-1254,2.5,71,False
T|Bar,487.9991732900904,"('Chelsea Hotel', '33 Gerrard Street W', 'Toronto, ON M5G 1Z4', 'Canada')",+1 416-585-4961,3.5,13,False
Punjabi Chaap Corner,437.275426609338,"('38 Elm Street', 'Unit 06A', 'Toronto, ON M5G 2K5', 'Canada')",+1 416-598-3787,4.0,5,False
Spice66,664.0666904171528,"('335 Yonge And Dundas', 'Toronto, ON M5B 2L3', 'Canada')",+1 416-816-2766,4.0,3,False
The Bombay,849.0074119143621,"('259 Queen Street W', 'Toronto, ON M5V 1Z4', 'Canada')",+1 416-519-2550,3.5,10,False
Indian Studio Kitchen,621.2784821950619,"('429 Yonge Street', 'Toronto, ON M5B 1T1', 'Canada')",+1 416-977-8137,4.0,1,False
PLANTA Toronto,784.8661377144938,"('180 Queen Street W', 'Toronto, ON M5V 3X3', 'Canada')",+1 647-812-1210,4.0,172,False
Indian Roti House,1031.4349558382046,"('471 Church Street', 'Toronto, ON M4Y 2C5', 'Canada')",+1 647-987-7684,3.5,44,False
Sizzler Kabab,826.0469784533798,"('381 Spadina Avenue', 'Toronto, ON M5T 2G6', 'Canada')",+1 416-551-7786,3.0,52,False
Veda Healthy IndianTakeout,520.0710352732092,"('Sandford Fleming Building', ""10 King's College Rd"", 'Toronto, ON M5S', 'Canada')",+1 416-961-9797,3.0,22,False
Ali Baba's Middle Eastern Cuisine,359.4253570350036,"('197 Dundas Street W', 'Toronto, ON M5G 1C8', 'Canada')",+1 416-597-0202,3.0,51,False
Oh Bombay,597.8519440877794,"('21 Grenville Street', 'Toronto, ON M4Y 1A1', 'Canada')",+1 647-812-6208,3.5,3,False
Little India Restaurant,878.8749698561918,"('255 Queen Street W', 'Toronto, ON M5V 1Z4', 'Canada')",+1 416-205-9836,3.5,438,False
Khazana - By Chef Sanjeev Kapoor,271.1818595540594,"('261 Yonge Street', 'Toronto, ON M5B 1N8', 'Canada')",+1 905-789-8738,3.5,21,False
The Host Fine Indian Cuisine,276.5097622821432,"('87 Elm Street', 'Toronto, ON M5G 0A8', 'Canada')",+1 416-962-4678,3.5,133,False
Matagali Restaurant,173.1504906539393,"('69 Elm Street', 'Toronto, ON M5G 1H2', 'Canada')",+1 416-599-9994,3.5,56,False
Bindia Indian Bistro,1242.8930455145714,"('16 Market St.', 'Toronto, ON M5E 1M6', 'Canada')",+1 416-863-0000,4.0,208,False
T|Bar,192.10302619653132,"('Chelsea Hotel', '33 Gerrard Street W', 'Toronto, ON M5G 1Z4', 'Canada')",+1 416-585-4961,3.5,13,False
Spice66,154.03898544655056,"('335 Yonge And Dundas', 'Toronto, ON M5B 2L3', 'Canada')",+1 416-816-2766,4.0,3,False
Maezo Indian Cuisine,596.0809367121858,"('102-250 Dundas Street W', 'Toronto, ON M5T 2Z6', 'Canada')",+1 416-941-0000,4.5,12,False
Punjabi Chaap Corner,122.87618296845265,"('38 Elm Street', 'Unit 06A', 'Toronto, ON M5G 2K5', 'Canada')",+1 416-598-3787,4.0,5,False
Indian Biriyani House,361.4008631794844,"('181 Dundas St W', 'Toronto, ON M5G 1C7', 'Canada')",+1 416-340-1254,2.5,71,False
Indian Studio Kitchen,413.8345862856464,"('429 Yonge Street', 'Toronto, ON M5B 1T1', 'Canada')",+1 416-977-8137,4.0,1,False
Chaska,994.8663440329412,"('218 Adelaide St W', 'Toronto, ON M5H 1W7', 'Canada')",,4.0,13,False
Colaba Junction,544.6151360499671,"('801 Bay Street', 'Unit 3 & 4', 'Toronto, ON M5S 1Y9', 'Canada')",+1 416-646-8800,3.0,82,False
Benares Cucina Indian,1181.768865393218,"('001 – 49 Front Street E', 'Toronto, ON M5E 1B3', 'Canada')",+1 416-955-9000,4.0,13,False
The Bombay,892.8477944126017,"('259 Queen Street W', 'Toronto, ON M5V 1Z4', 'Canada')",+1 416-519-2550,3.5,10,False
Indraprastha,786.6180450002695,"('5 Baldwin Street', 'Toronto, ON M5T 1L1', 'Canada')",+1 437-880-8349,5.0,2,False
Indian Roti House,879.8599349920703,"('471 Church Street', 'Toronto, ON M4Y 2C5', 'Canada')",+1 647-987-7684,3.5,44,False
PLANTA Toronto,772.8216792801259,"('180 Queen Street W', 'Toronto, ON M5V 3X3', 'Canada')",+1 647-812-1210,4.0,172,False
Bombay Palace,1063.8286099628588,"('71 Jarvis Street', 'Toronto, ON M5C 2H2', 'Canada')",+1 416-368-8048,3.5,59,False
Multani Rollz & Bowlz,307.57720326166844,"('384 Yonge Street', 'Unit 54', 'Toronto, ON M5G 2K2', 'Canada')",,3.0,1,False
Banjara Indian Cuisine,589.2645667905509,"('796 Bloor Street W', 'Toronto, ON M6G 1L7', 'Canada')",+1 416-963-9360,3.5,453,False
Indian Desire,670.3530751283201,"('469 Bloor Street W', 'Toronto, ON M5S 1X9', 'Canada')",+1 416-519-0604,4.5,18,False
Madras Masala,587.8649978951598,"('796 Bloor Street W', 'Suite 1', 'Toronto, ON M6G 1L7', 'Canada')",+1 647-342-4359,4.0,160,False
The Chulo,639.5457922896475,"('394 Bloor Street', 'Unit 102', 'Toronto, ON M5S 1X4', 'Canada')",+1 416-925-9777,4.0,2,False
Matha Roti - East Indian Cuisine,733.1750046233874,"('141 Harbord Street', 'Toronto, ON M5S 2M2', 'Canada')",+1 416-966-6955,4.0,34,False
My Roti Place,656.4733261403966,"('810 Bloor Street W', 'Toronto, ON M6G 1L9', 'Canada')",+1 416-588-0202,4.0,2,False
Ghazale Restaurant,337.7256169580958,"('504 Bloor Street W', 'Toronto, ON M5S 1Y3', 'Canada')",+1 416-537-4417,3.5,98,False
Naans & More,310.4392288877653,"('795 Bathurst St', 'Toronto, ON M5S 1Z5', 'Canada')",,5.0,1,False
The Cottage Cheese,1326.410967188762,"('64 Oxford Street', 'Toronto, ON M5T 1P1', 'Canada')",+1 647-368-8633,4.5,26,False
Annapurna Vegetarian Restaurant,928.6942785897156,"('1085 Bathurst Street', 'Toronto, ON M5R 3G8', 'Canada')",+1 416-537-8513,4.0,40,False
Bombay Roti,440.2439666668184,"('529 Bloor Street W', 'Toronto, ON M5S 1Y5', 'Canada')",+1 647-352-7684,3.5,21,False
Gully,473.44917068559425,"('521 Bloor Street W', 'Toronto, ON M5S 1Y4', 'Canada')",+1 416-516-9099,4.5,3,False
The Pomegranate Restaurant,1061.7426174292132,"('420 College Street', 'Toronto, ON M5T 1T3', 'Canada')",+1 416-921-7557,4.0,197,False
Thindi,1105.8383517596678,"('400 College Street', 'Toronto, ON M5T 1S7', 'Canada')",,4.0,6,False
Hawker,1340.394621628238,"('291 Augusta Ave', 'Toronto, ON M5T 1N9', 'Canada')",+1 416-628-1905,5.0,40,False
Spicy Grill Indo Pak Cuisine,1340.394621628238,"('291 Augusta Ave', 'Toronto, ON M5T 3A9', 'Canada')",+1 416-968-7111,2.5,7,False
Fresh Kitchen + Juice Bar,949.2838642189163,"('326 Bloor Street W', 'Toronto, ON M5S 1W5', 'Canada')",+1 416-599-4442,3.5,337,False
By The Way,599.3369207126959,"('400 Bloor Street W', 'Toronto, ON M5S 1X5', 'Canada')",+1 416-967-4295,3.5,96,False
Bhoj Indian Cuisine,300.8502117479106,"('21 Davenport Road', 'Toronto, ON M5R 1H2', 'Canada')",+1 416-961-8351,4.0,72,False
Utsav,521.5381282331556,"('69 Yorkville Ave', 'Toronto, ON M5R 1B8', 'Canada')",+1 416-961-8349,4.0,138,False
Poppadum,345.3248750765377,"('874 Yonge Street', 'Toronto, ON M4W 2J1', 'Canada')",+1 647-892-2907,5.0,6,False
Kathmandu Restaurant,492.2185884221926,"('12 Cumberland Street', 'Toronto, ON M4W 1J5', 'Canada')",+1 647-345-4214,3.5,68,False
Naan & Kabob,750.9222774424518,"('691 Yonge Street', 'Toronto, ON M4Y 2B2', 'Canada')",+1 416-972-6623,4.0,152,False
Adrak,636.1853862231294,"('138 Avenue Road', 'Toronto, ON M5R 2H6', 'Canada')",+1 416-413-0777,3.5,11,False
Suksi Biryani House,717.5123734771203,"('15 Hayden Street', 'Toronto, ON M4Y 2P2', 'Canada')",+1 416-515-1957,3.5,73,False
Kothur Indian Cuisine,876.5656579631511,"('649 Yonge Street', 'Toronto, ON M4Y 2A6', 'Canada')",+1 416-926-0953,3.5,104,False
PLANTA Yorkville,588.9538905913009,"('1221 Bay Street', 'Toronto, ON M5R 3P5', 'Canada')",+1 647-812-1221,4.0,509,False
Govinda's,694.5040228769386,"('243 Avenue Road', 'Toronto, ON M5R 2J6', 'Canada')",+1 888-218-1040,4.0,43,False
Maja Indian Cuisine,911.8673882204943,"('345 Bloor Street E', 'Toronto, ON M4W 3J6', 'Canada')",+1 647-350-7876,4.0,34,False
Tandori,578.9767276373233,"('Hudson Bay Centre', '2 Bloor Street E', 'Toronto, ON M4W 3T3', 'Canada')",+1 416-580-9311,3.0,7,False
M Biryani House,574.8537471579193,"('F03-2 Bloor Street W', 'Toronto, ON M5T 1G1', 'Canada')",+1 647-340-4180,2.5,2,False
Ceylon Spice by Esther,571.956537581922,"('2 Bloor St W', 'L35', 'Toronto, ON M5T 1G1', 'Canada')",,2.0,5,False
Exotic Tandoori Restaurant,794.1776146636352,"('11 Charles Street W', 'Toronto, ON M4Y 1R4', 'Canada')",+1 416-964-1616,3.0,2,False
Butter Chicken Roti,1008.4298199126223,"('646 Yonge Street', 'Toronto, ON M4Y 2A6', 'Canada')",+1 416-783-7634,3.5,20,False
Amal,795.1442880089276,"('131 Bloor Street W', '2nd Floor', 'Toronto, ON M5S 3L7', 'Canada')",+1 416-551-9929,3.5,88,False
Bhoj Indian Cuisine,626.8192676787243,"('21 Davenport Road', 'Toronto, ON M5R 1H2', 'Canada')",+1 416-961-8351,4.0,72,False
Adrak,69.38777385609869,"('138 Avenue Road', 'Toronto, ON M5R 2H6', 'Canada')",+1 416-413-0777,3.5,11,False
Utsav,612.0833755623308,"('69 Yorkville Ave', 'Toronto, ON M5R 1B8', 'Canada')",+1 416-961-8349,4.0,138,False
Indian Desire,1309.3735712441967,"('469 Bloor Street W', 'Toronto, ON M5S 1X9', 'Canada')",+1 416-519-0604,4.5,18,False
Govinda's,221.76537693097205,"('243 Avenue Road', 'Toronto, ON M5R 2J6', 'Canada')",+1 888-218-1040,4.0,43,False
Poppadum,729.6849592600925,"('874 Yonge Street', 'Toronto, ON M4W 2J1', 'Canada')",+1 647-892-2907,5.0,6,False
Naan & Kabob,1056.0199472183592,"('691 Yonge Street', 'Toronto, ON M4Y 2B2', 'Canada')",+1 416-972-6623,4.0,152,False
Kathmandu Restaurant,794.2153830306727,"('12 Cumberland Street', 'Toronto, ON M4W 1J5', 'Canada')",+1 647-345-4214,3.5,68,False
The Chulo,1315.0205492702842,"('394 Bloor Street', 'Unit 102', 'Toronto, ON M5S 1X4', 'Canada')",+1 416-925-9777,4.0,2,False
Roti Cuisine of India,974.1643223715128,"('308 Dupont Street', 'Toronto, ON M5R 1W1', 'Canada')",+1 416-968-9366,4.5,123,False
PLANTA Yorkville,763.5503813344125,"('1221 Bay Street', 'Toronto, ON M5R 3P5', 'Canada')",+1 647-812-1221,4.0,509,False
Suksi Biryani House,1044.2824766147307,"('15 Hayden Street', 'Toronto, ON M4Y 2P2', 'Canada')",+1 416-515-1957,3.5,73,False
Kothur Indian Cuisine,1157.6804424762474,"('649 Yonge Street', 'Toronto, ON M4Y 2A6', 'Canada')",+1 416-926-0953,3.5,104,False
M Biryani House,826.1626078054944,"('F03-2 Bloor Street W', 'Toronto, ON M5T 1G1', 'Canada')",+1 647-340-4180,2.5,2,False
Exotic Tandoori Restaurant,1046.4583122793151,"('11 Charles Street W', 'Toronto, ON M4Y 1R4', 'Canada')",+1 416-964-1616,3.0,2,False
Ceylon Spice by Esther,880.7403688965042,"('2 Bloor St W', 'L35', 'Toronto, ON M5T 1G1', 'Canada')",,2.0,5,False
Tandori,937.3385549883124,"('Hudson Bay Centre', '2 Bloor Street E', 'Toronto, ON M4W 3T3', 'Canada')",+1 416-580-9311,3.0,7,False
Fresh Kitchen + Juice Bar,1071.2461115755423,"('326 Bloor Street W', 'Toronto, ON M5S 1W5', 'Canada')",+1 416-599-4442,3.5,337,False
Butter Chicken Roti,1261.454824203064,"('646 Yonge Street', 'Toronto, ON M4Y 2A6', 'Canada')",+1 416-783-7634,3.5,20,False
Amal,758.3242872307706,"('131 Bloor Street W', '2nd Floor', 'Toronto, ON M5S 3L7', 'Canada')",+1 416-551-9929,3.5,88,False
Bhoj Indian Cuisine,141.9073750813183,"('21 Davenport Road', 'Toronto, ON M5R 1H2', 'Canada')",+1 416-961-8351,4.0,72,False
Utsav,274.002008766175,"('69 Yorkville Ave', 'Toronto, ON M5R 1B8', 'Canada')",+1 416-961-8349,4.0,138,False
Kathmandu Restaurant,94.07455049628891,"('12 Cumberland Street', 'Toronto, ON M4W 1J5', 'Canada')",+1 647-345-4214,3.5,68,False
Naan & Kabob,350.64379253596206,"('691 Yonge Street', 'Toronto, ON M4Y 2B2', 'Canada')",+1 416-972-6623,4.0,152,False
Poppadum,58.72760049955426,"('874 Yonge Street', 'Toronto, ON M4W 2J1', 'Canada')",+1 647-892-2907,5.0,6,False
Suksi Biryani House,321.4386247755241,"('15 Hayden Street', 'Toronto, ON M4Y 2P2', 'Canada')",+1 416-515-1957,3.5,73,False
Kothur Indian Cuisine,475.03551687831947,"('649 Yonge Street', 'Toronto, ON M4Y 2A6', 'Canada')",+1 416-926-0953,3.5,104,False
PLANTA Yorkville,235.004863585266,"('1221 Bay Street', 'Toronto, ON M5R 3P5', 'Canada')",+1 647-812-1221,4.0,509,False
Adrak,763.342038862636,"('138 Avenue Road', 'Toronto, ON M5R 2H6', 'Canada')",+1 416-413-0777,3.5,11,False
Maja Indian Cuisine,728.5692787799603,"('345 Bloor Street E', 'Toronto, ON M4W 3J6', 'Canada')",+1 647-350-7876,4.0,34,False
M Biryani House,182.53528715660673,"('F03-2 Bloor Street W', 'Toronto, ON M5T 1G1', 'Canada')",+1 647-340-4180,2.5,2,False
Exotic Tandoori Restaurant,390.27251587407943,"('11 Charles Street W', 'Toronto, ON M4Y 1R4', 'Canada')",+1 416-964-1616,3.0,2,False
Tandori,188.6752154159894,"('Hudson Bay Centre', '2 Bloor Street E', 'Toronto, ON M4W 3T3', 'Canada')",+1 416-580-9311,3.0,7,False
Ceylon Spice by Esther,168.03174298707106,"('2 Bloor St W', 'L35', 'Toronto, ON M5T 1G1', 'Canada')",,2.0,5,False
Indian Roti House,1030.868798178516,"('471 Church Street', 'Toronto, ON M4Y 2C5', 'Canada')",+1 647-987-7684,3.5,44,False
